				BIRDS	OF	GREAT	BRITAIN	0
			BIRDS	OF	GREAT	BRITAIN	AND	7
		BIRDS	OF	GREAT	BRITAIN	AND	IRELAND	11
	BIRDS	OF	GREAT	BRITAIN	AND	IRELAND	ORDER	17
BIRDS	OF	GREAT	BRITAIN	AND	IRELAND	ORDER	PASSERES	25
OF	GREAT	BRITAIN	AND	IRELAND	ORDER	PASSERES	FAMILY	29
GREAT	BRITAIN	AND	IRELAND	ORDER	PASSERES	FAMILY	ORIOLID^	38
BRITAIN	AND	IRELAND	ORDER	PASSERES	FAMILY	ORIOLID^	.	44
AND	IRELAND	ORDER	PASSERES	FAMILY	ORIOLID^	.	THIS	54
IRELAND	ORDER	PASSERES	FAMILY	ORIOLID^	.	THIS	famil}^	61
ORDER	PASSERES	FAMILY	ORIOLID^	.	THIS	famil}^	consists	69
PASSERES	FAMILY	ORIOLID^	.	THIS	famil}^	consists	of	72
FAMILY	ORIOLID^	.	THIS	famil}^	consists	of	a	77
ORIOLID^	.	THIS	famil}^	consists	of	a	tropical	85
.	THIS	famil}^	consists	of	a	tropical	group	94
THIS	famil}^	consists	of	a	tropical	group	of	97
famil}^	consists	of	a	tropical	group	of	brightly	99
consists	of	a	tropical	group	of	brightly	coloured	108
of	a	tropical	group	of	brightly	coloured	birds	114
a	tropical	group	of	brightly	coloured	birds	in	117
tropical	group	of	brightly	coloured	birds	in	whicli	126
group	of	brightly	coloured	birds	in	whicli	yellow	135
of	brightly	coloured	birds	in	whicli	yellow	and	141
brightly	coloured	birds	in	whicli	yellow	and	black	144
coloured	birds	in	whicli	yellow	and	black	,	151
birds	in	whicli	yellow	and	black	,	or	158
in	whicli	yellow	and	black	,	or	scarlet	162
whicli	yellow	and	black	,	or	scarlet	and	167
yellow	and	black	,	or	scarlet	and	black	169
and	black	,	or	scarlet	and	black	,	172
black	,	or	scarlet	and	black	,	are	180
,	or	scarlet	and	black	,	are	the	184
or	scarlet	and	black	,	are	the	prevailing	189
scarlet	and	black	,	are	the	prevailing	hues	191
and	black	,	are	the	prevailing	hues	.	195
black	,	are	the	prevailing	hues	.	Although	199
,	are	the	prevailing	hues	.	Although	in	210
are	the	prevailing	hues	.	Although	in	the	214
the	prevailing	hues	.	Although	in	the	general	216
prevailing	hues	.	Although	in	the	general	form	225
hues	.	Although	in	the	general	form	of	228
.	Although	in	the	general	form	of	their	232
Although	in	the	general	form	of	their	heads	240
in	the	general	form	of	their	heads	they	245
the	general	form	of	their	heads	they	somewhat	248
general	form	of	their	heads	they	somewhat	remind	254
form	of	their	heads	they	somewhat	remind	one	260
of	their	heads	they	somewhat	remind	one	of	265
their	heads	they	somewhat	remind	one	of	Starlings	274
heads	they	somewhat	remind	one	of	Starlings	,	281
they	somewhat	remind	one	of	Starlings	,	they	285
somewhat	remind	one	of	Starlings	,	they	must	288
remind	one	of	Starlings	,	they	must	not	297
one	of	Starlings	,	they	must	not	be	299
of	Starlings	,	they	must	not	be	confounded	304
Starlings	,	they	must	not	be	confounded	with	309
,	they	must	not	be	confounded	with	the	313
they	must	not	be	confounded	with	the	so	316
must	not	be	confounded	with	the	so	-	327
not	be	confounded	with	the	so	-	called	332
be	confounded	with	the	so	-	called	"	336
confounded	with	the	so	-	called	"	Orioles	338
with	the	so	-	called	"	Orioles	"	339
the	so	-	called	"	Orioles	"	of	346
so	-	called	"	Orioles	"	of	the	347
-	called	"	Orioles	"	of	the	New	354
called	"	Orioles	"	of	the	New	World	356
"	Orioles	"	of	the	New	World	,	359
Orioles	"	of	the	New	World	,	which	363
"	of	the	New	World	,	which	belong	367
of	the	New	World	,	which	belong	to	372
the	New	World	,	which	belong	to	the	374
New	World	,	which	belong	to	the	family	380
World	,	which	belong	to	the	family	IdcridcE	387
,	which	belong	to	the	family	IdcridcE	or	390
which	belong	to	the	family	IdcridcE	or	Hang	394
belong	to	the	family	IdcridcE	or	Hang	-	401
to	the	family	IdcridcE	or	Hang	-	nests	410
the	family	IdcridcE	or	Hang	-	nests	and	413
family	IdcridcE	or	Hang	-	nests	and	Troupials	417
